time,open,high,low,close,volume
03-06-2019,1335,1367.25,1321.2,1360.2,8483610
04-06-2019,1357.45,1374.25,1348.1,1351.65,7059911
06-06-2019,1361.9,1361.9,1321.1,1327.35,7664319
07-06-2019,1325.95,1327.25,1305.6,1314.9,6730595
10-06-2019,1320.9,1327,1310.1,1319.15,5380148
11-06-2019,1321.85,1334.5,1318,1329.15,5253790
12-06-2019,1334.7,1338.4,1325,1332.15,4707716
13-06-2019,1330,1334.7,1308.65,1327.25,7171189
14-06-2019,1321.9,1325,1309.4,1317.55,6831331
17-06-2019,1320,1320,1278.5,1282.3,6815554
18-06-2019,1278.9,1287.95,1269.1,1281,7679193
19-06-2019,1286.9,1302,1262.6,1277.35,6625604
20-06-2019,1280,1300,1278,1296.75,4914012
21-06-2019,1295.95,1296,1275.55,1279.5,10623098
24-06-2019,1272.15,1276.45,1257.1,1262.4,5150998
25-06-2019,1258.9,1298,1254.25,1295.85,6842363
26-06-2019,1291,1304.6,1286.35,1294.15,5299942
27-06-2019,1293.15,1296.9,1271,1274.15,11385972
28-06-2019,1277.1,1282.85,1248.65,1253.1,8659721
01-07-2019,1258.05,1272.65,1246.45,1268.85,6162080
02-07-2019,1273.95,1281,1263.3,1278.5,4638751
03-07-2019,1282.9,1286.5,1275.05,1282.55,4026032
04-07-2019,1281.4,1291,1280,1284,4275148
05-07-2019,1285.1,1290.5,1260,1263.35,4995344
08-07-2019,1258,1268.1,1248.2,1252.05,6404544
09-07-2019,1248.95,1283.5,1245.5,1280.1,8016757
10-07-2019,1280.05,1289.35,1268.7,1278.85,5494315
11-07-2019,1287,1289.8,1279.3,1281.55,3935460
12-07-2019,1283,1300,1278.05,1280.5,7174054
15-07-2019,1285,1289.5,1270.35,1276.1,4873164
16-07-2019,1279.95,1294.9,1277.05,1293,4604019
17-07-2019,1294.3,1297,1280,1281.85,4334958
18-07-2019,1282,1286.4,1258,1261.85,5459896
19-07-2019,1268.2,1272.95,1242.7,1249,7468515
22-07-2019,1251,1284.5,1227.3,1280.5,13300153
23-07-2019,1285,1293.9,1260.4,1273.55,9287951
24-07-2019,1273.5,1278.8,1253.55,1259.1,6943982
25-07-2019,1264,1269.05,1227,1231.5,9968545
